top_mode_smiles,n_distinct_products
O=S(c1ccc(C=Cc2nc(CCl)co2)cc1)C(F)(F)F.Oc1ccc(COCCn2ccnn2)cc1,1
N#CCc1ccc2c(c1)Sc1ccccc1CC2=O.[N-]=[N+]=[N-],1
Cc1cc(-c2nnc[nH]2)ccc1B1OC(C)(C)C(C)(C)O1.O=C1Nc2ncc(Br)nc2NC12CC2,1
Cc1ccc(S(=O)(=O)Cl)cc1.Nc1coc2ccccc2c1=S,1
C1CNCCN1.ClCCC1OCCc2ccccc21,1
C1COCCN1.N#Cc1ccc(F)cc1,1
Cc1cc2c(OCc3ccccc3)cccc2[nH]1.ClCc1ccccc1,1
O=[N+]([O-])c1ccc(F)c(Cl)c1.c1c[nH]cn1,1
BrCCCCBr.CC(C)(C)OC(=O)N1CCC(O)CC1,1
CN(c1ccc(C(F)(F)F)cc1)S(=O)(=O)c1ccc(C(=O)O)cc1.Nc1nc(-c2ccccn2)cs1,1
COC(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,1
CC(C)(C)OC(=O)N1CCCC1Cn1c(NC(=O)c2ccc(C(F)F)s2)nc2cc(CO)ccc21,1
COC(=O)Cc1cncc(Br)c1.OB(O)c1ccc(C(F)(F)F)cc1,1
Brc1ccc2[nH]cc(-c3cnc4ccccc4c3)c2c1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,1
COc1ccc2c(c1)C(=O)CCO2.O=Cc1c[nH]c2ccccc12,1
Cc1ncccc1C=O,1
Cc1cc(CCCCCBr)on1.Oc1c(Cl)cc(C2=NCCO2)cc1Cl,1
COC(=O)C=CCN(C)C1CCOC1,1
CC(C)Sc1ccc(C(=O)O)cc1.OO,1
Cn1cccc1C(=O)O.NNC(=O)c1ccccc1Nc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,1
Cc1ccc(C(=O)Cl)cc1.Cc1ccc(C(=O)Nc2cc([N+](=O)[O-])c(Sc3ccc(Cl)cc3)cc2N)cc1,1
Brc1cnc2c(c1)CC1(CN3CCC1CC3)O2.CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[c]1ccco1,1
Cc1nn(-c2ccc(OCc3ccccc3)cc2F)c(-n2c(C)ccc2C)c1C#N,1
CCOC(=O)CN(C(=O)OC)c1ccc(OCc2nc3ccccc3s2)cc1C,1
BrCCCOc1cccc(-c2noc3ccsc23)c1.Cc1ccc(CN)cc1,1
CCCCNCCCC.O=C1c2ccccc2-n2cnc(-c3noc(CCl)n3)c2C2CCN12,1
CC(N)c1ccc(C(=O)O)cc1,1
CC(C)(C)N1CCNCC1.Cc1cc(N2CC(S(=O)(=O)c3ccc(F)cc3Cl)CC2C(=O)NC2(C#N)CC2)n(CCc2ccccc2)n1,1
CC(C)(C)OC(=O)NC(C(O[Si](C)(C)C(C)(C)C)C(=O)OC(C)(C)C)C(F)c1ccccc1,1
CC(C)(C)c1cnc(-c2ccccn2)c(Br)c1.C[SiH2]C,1
Cc1ccc(CN)cc1C(=O)O.O=C(Cl)c1cccc(Cl)c1,1
NC1CCCCC1.O=C(O)C1CCN(C(C(=O)NS(=O)(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccc(Cl)cc2)CC1,1
CS(=O)(=O)Cl.Nc1cc2occ(Nc3ccccc3)c(=O)c2cc1Oc1ccccc1,1
Cc1ccc(-c2ncccn2)c(C(=O)N2CCCC(C)C2CN)c1.N#Cc1ccc(Cl)nc1,1
C1CCNCC1.Cc1cccn2cc(-c3ccc(NS(=O)(=O)CCCCl)cc3)nc12,1
C[Si](C)(C)C#Cc1ccc(Cl)cc1Cl,1
CCOC(=O)C(F)=C(C)c1cc2c(cc1OCC)OC(C)(C)C=C2c1ccccc1,1
CC(=O)C1CN(Cc2ccccc2)CC1c1ccc(Cl)cc1,1
CC(C)c1ccc(N)cc1.O=c1[nH]c2ncccc2c2cc(Cl)ccc12,1
CC1CNC(=O)c2cc3cccc(OC(F)(F)F)c3n21,1
O=[N+]([O-])c1ccc(F)c(F)c1.c1cc[nH]c1,1
COc1ncc(Br)cc1CN(c1ccc(Oc2ccc(C)cc2)cc1)S(C)(=O)=O.OB(O)c1ccccc1,1
Brc1c[nH]cn1.Cc1cc(-c2ccc(C(F)(F)F)cc2)nc(Cl)n1,1
CN(C(=O)N(C)C1CN(C(=O)C2CCNCC2)CC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.O=C(O)C1CCOCC1,1
CCNc1ccc(C)c(F)c1.NCCCl,1
CNC.O=C(O)Cn1ccc2c(Nc3cc[nH]n3)nc(S(=O)(=O)c3ccc(F)cc3)nc21,1
N#Cc1cccc(CN2CCC3(CC2)C(NC2CCCCC2)=NC(=O)N3c2cccc(F)c2)c1,1
CC(C)(C)OC(=O)N1CCC(CNC(=O)C(N)CO)CC1.O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccccc2)cc1,1
C1CCNC1.O=C(O)Cc1ccc(F)cc1,1
C1CNCCN1.CCCOC(=O)Cl,1
BrCC1CCCC1.NCCO,1
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)O)nc2CC2CCCCC2)cc1C(F)(F)F.NC1CCOCC1,1
CC(N=[N+]=[N-])c1c(F)cc(Br)cc1F,1
BrCC1CC1.COc1cccc(C=Cc2cc(=O)n3ccsc3n2)c1O,1
CN(C)c1ccc(B(O)O)cn1.Cc1c(Br)c2c(c(C)c1NC(=O)CC(C)(C)C)C(c1ccc(C(C)C)cc1)CO2,1
C=CCBr.Oc1cnccc1Cl,1
COC(=O)c1ccc(CCc2ccc(S(=O)Cc3ccc4ccccc4n3)cc2)cc1,1
NC(N)=S.O=C(CBr)c1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,1
Cc1cc(N2CCCCC2)c2c3c(sc2n1)CCC3.O=C(Cl)C1CC1,1
COC(=O)c1ccc(CC2(C3=Cc4ccccc4C3)Cc3ccccc3C2O)cc1.NCCO,1
CCNCC.FC(F)(F)c1ccc(-c2nsc3cc(OCCCCBr)ccc23)cc1,1
CC(=O)c1ccc(Br)cc1.COc1ccc(B(O)O)cc1,1
C#Cc1ccc(CCC(=O)OC)cc1.Ic1ccncc1,1
CCCCOC(=O)COCCCN.Cc1nc(NC(=N)N)sc1C(=O)O,1
CC(C)(C)OC(=O)N1CCc2cnc(Cc3cccc(Cl)c3)nc2CC1,1
CC1(c2cc(N)ccc2F)CS(=O)(=O)C2(CC2)C(N)=N1.COc1cnc2c(Cl)nccc2c1,1
CC(NC(=O)OC(C)(C)C)C1(O)CNC1.O=C(O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,1
CCOC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CN(C(=O)OC(C)(C)C)CC1,1
O=C1CC2(CCNCC2)c2ccccc21,1
COc1ccc2c(c1)C(c1ccc(Cl)cc1)=NC(CC(=O)O)c1nnc(C)n1-2.C[Si](C)(O)c1ccc(C(=O)NCCN)cc1,1
CC(C)CBr.CCOc1ccc(-c2cccc3c2CCC3=O)c(O)c1OC,1
CCOC(=O)N1CCc2ccc3c(c2CC1)C(O)(C1CC1)CC3,1
CC(C)(C)[Si](C)(C)OCCOc1ccc(C=O)nc1Cl.CS(=O)c1cccc(B(O)O)c1,1
COC(=O)C(OC(C)(C)C)c1c(C)nc2sc3c(c2c1I)CCCC3.Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1,1
O=[N+]([O-])c1ccc(Oc2cccc3[nH]ccc23)c(Cl)c1,1
Nc1cc(Cl)c(F)c(Cl)c1.O=C([O-])Cc1nc(N2CCOCC2)cc(=O)[nH]1,1
O=C(NC1=NC2(c3ccccc3F)COC(CF)CC2CS1)c1ccccc1,1
CC(C)(C)N1C(=O)C(NCCCBr)=C(c2ccccc2)S1(=O)=O.CCCCNCc1ccccc1,1
COC(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)OCc1ccccc1)C(C)C,1
CCCCCCOc1ccc2c(c1)C=C(CO)CO2,1
CC(C)c1cc(O)nc(-c2cc(Cl)cc(Cl)c2)n1.Fc1ccc(CBr)cc1,1
CCC=CC1=C(N(CC)CC)c2cc3c(cc2C1)OCO3,1
C#CCBr.CC(C)(C)OC(=O)N1CCNCC1,1
COC(=O)c1ccc(C(C)Oc2ccccc2)cc1F,1
CC(=O)CCC(C)=O.CC1Cc2cc(N)ccc2N1,1
COC(=O)C1CN(C(C)=O)CCC1NS(=O)(=O)c1ccc(OCc2cc(C)nc3ccccc23)cc1,1
C#CCCCN.CCC(NC(=O)C(F)(F)F)C(=O)O,1
COC(=O)CCc1ccc(Cl)c(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1,1
Cn1c(=O)nc(Cl)c2ccccc21.NCCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,1
N#Cc1cccc(OC2CCC(N)CC2)c1.O=C(O)CCCc1nc2ccccc2c(=O)[nH]1,1
CC1(C)CCCC(=O)C1C(=O)c1ccc([N+](=O)[O-])cc1,1
COc1cc(C#N)c([N+](=O)[O-])cc1OCCCN1CCOCC1,1
CC(C)(C)OC(=O)N1CCC(n2c(=O)[nH]c3cc(C(=O)O)c(F)cc32)CC1.CN,1
CC(C)(C)OC(=O)N1CCC(=O)N(CCCCO)CC1,1
NO.O=Cc1ccc(-c2ccc(N3CC(Cn4ccnn4)OC3=O)cc2F)cn1,1
CCOC(=O)c1cnc(NC(=O)N(C2CCCCC2)C2CCC(C)CC2)s1,1
COC(=O)c1cc(OCCC2(CCO)CCCCC2)cc(C(=O)OC)c1,1
COc1cc(C=O)cc(OC)c1OC.NNC(=O)CC1Sc2ccccc2NC1=O,1
CC(C)(C)OC(=O)N1CCCC1C(=O)O.NNC(=O)c1ccccc1,1
CC1Cc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1.Cc1oc(CCc2ccccc2)nc1CCl,1
CCI.COC(=O)c1cc(C2CC2)c(-c2ccccn2)cc1O,1
CC1(C)OB(c2ccc(NC(=O)NC3CC3)cc2)OC1(C)C.CC1COCCN1c1nc(Cl)nc2c1SCCC2,1
CC1(C)OC(=O)C(CCCN)C(=O)O1.CN1Cc2c(Cl)cc(Cl)cc2C(c2ccc(N=C=O)cc2)C1,1
CC(C)(c1ccc(-c2noc(-c3ccc(=O)n(Cc4cccc(C(=O)O)c4)n3)n2)cc1)C(F)(F)F.NCc1ccccc1,1
Cc1c(O)ccc(CCC(=O)OC(C)(C)C)c1C.Fc1cc(CBr)c2nc(C(F)(F)F)sc2c1,1
CN(C)CCNc1c2c(nc3ccccc13)CCCC2=O,1
COc1cc(Oc2nc(-c3cccc([N+](=O)[O-])c3)nn3c(C)nc(C)c23)cc(OC)c1OC,1
CC(C)(C)OC(=O)NC(CO)C(=O)Nn1cccc1,1
CCCCCCCCBr.CCCCCCCCOc1ccc(-c2cnc(-c3ccc(O)c(F)c3F)nc2)cn1,1
CCOC(=O)C=CC(NC)C(c1ccccc1)c1ccccc1.O,1
C[SiH](C)C1(n2cnc3c(NC(=O)c4ccccc4)ncnc32)CC(OC(C)(C)C)C(CN2C(=O)c3ccccc3C2=O)O1,1
Nc1onc(-c2ccc(F)cc2)c1-c1ccncn1.O=C(O)Cc1ccccc1O,1
CC(C)(C)C=CB(O)O.CN(C)c1nc(NCc2ccc(NC(=O)C3CCN(Cc4ccccc4)CC3)cc2)c2ccc(Br)cc2n1,1
C[Si](C)(C)CCOCn1nc(-c2cccc(Br)n2)c2cc(I)ncc21.OB(O)c1cccnc1,1
CC(=O)OC(C)=O.Cc1[nH][nH]c(=O)c1Cc1ccccc1,1
CN1CCN(c2ccnc(Cl)n2)CC1.Nc1ccc2sc(NC(=O)c3ccccc3)nc2c1,1
N#Cc1cccnc1Br.OB(O)c1cccc(Cl)n1,1
CCCC1NCCN(Cc2ccc3c(N)ncnc3c2)C1=O.O=C(O)COc1ccc(Cl)s1,1
Brc1ccc2ncnn2c1.CN(C)C=O,1
CCCC(C(=O)OC)c1c(C)nc(-c2ccccc2)nc1-c1ccc2ccn(C)c2c1,1
CC(C)CC(C=O)N(C)C(=O)OC(C)(C)C.NCCCC(c1ccc(F)cc1)c1ccc(F)cc1,1
CC(C)(C)[Si](C)(C)OCc1nc(CONC(=O)C2c3ccccc3C(=O)N(C3CCCCC3NS(C)(=O)=O)C2c2ccc(Cl)cc2Cl)no1,1
COCCn1cc(C(=O)O)c2c(C(=O)N(C)C)cccc21.O=C(NCc1ccc(F)c(C2CCNCC2)c1)C(F)(F)F,1
CNC.COc1cc(NC(=O)C(=O)c2c(C)n(Cc3ccc(Cl)cc3)c3ccc(C=O)cc23)ccn1,1
CC(C)=CCCBr.C[Si](C)(C)c1cc(C=O)co1,1
CC(=O)NC(C)c1ccc2c(c1)CCNC2.O=C(O)c1ccc(OCC2CC2)cc1,1
CC(C)N.CS(=O)(=O)c1ccc(-c2ccc3c(I)c(I)nnc3c2)cc1,1
COc1cc[nH]c1C=C1C(=O)Nc2ccc([N+](=O)[O-])c(-c3ccc4cc[nH]c4c3)c21,1
Cc1ccc(F)c([N+](=O)[O-])c1.Nc1cccc(S)c1,1
CCOC(=O)c1cc(-c2ccn(C)n2)n(-c2ccc(OC)nc2)n1,1
C=CC(NC(=O)OC(C)(C)C)c1cccc(Cl)c1F,1
COCCNCC(=O)Oc1cccc(C)c1.COc1cc2ccc(S(=O)(=O)NC(CCCNC(=N)N)C(=O)O)cc2cc1OC,1
CI.Cc1nc(I)c(C)n1-c1cc[nH]c(=O)c1,1
COC(=O)CCC(C(N)=O)N1Cc2c(O)cccc2C1=O.Cn1nc(CO)c2ccccc21,1
CO.O=C(O)CC1CCCCC1,1
O=C(Cl)C(=O)c1cccs1.OC12CCN(CC1)CC2,1
Cc1cccc2snc(Cl)c12.NCCCN,1
Nc1ccc(Cl)cc1[N+](=O)[O-].O=Cc1ccc(O)cc1,1
COC(=O)c1c(NS(=O)(=O)c2ccccc2F)ccc2c1OCC1CC21,1
CCCCCCCO.O=C(O)c1ccc(F)c(C(F)(F)F)c1,1
CC(N)C(N)=O.O=C(O)c1cc(Cl)nc(Cl)n1,1
CC(C(=O)O)c1cccc(C#N)c1.NCc1ccc(C(F)(F)F)nc1N1CCCC1,1
CCc1[nH]c2c(F)ccc(O)c2c(=O)c1Cc1cccc(S(C)(=O)=O)c1.COC(=O)CBr,1
Cc1ccc(C(=O)NC2CC2)cc1B1OC(C)(C)C(C)(C)O1.Fc1ccc(-c2n[nH]c3cc(Br)ccc23)cc1,1
CC(C)c1nnc2ccc(Sc3ccccc3C#N)cn12,1
CN(C(=O)OC(C)(C)C)C1CCN(c2nccnc2C2CN(c3ccc4ccccc4n3)C2)C1,1
CCOC(=O)CN.Nc1ncc(Br)cc1CBr,1
COCc1cc2c(cc1OC)CCC1C2CCC2(C)C(=O)CCC12,1
COC(=O)COc1ccc(Cl)c2nc(OC)c(Cc3ccc(-n4cccn4)cc3)c(C)c12,1
CC(C)(C)OC(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)OCc1ccccc1,1
CC(Oc1nc(C(=O)O)ccc1C1CC1)C(F)(F)F.Cc1nc(C(C)(C)N)no1,1
CC(=O)N1CCN(c2ccc(N)cc2)CC1.Cc1ccc(S(=O)(=O)n2ccc3c(NC(C)CO)nc(Cl)nc32)cc1,1
CC(C)(C)CNc1cc(N2CCN(Cc3ccccc3)CC2)nc(NC(C)(C)C)n1,1
CNC.O=C(Cl)c1ccc([N+](=O)[O-])c(Oc2ccc(F)cc2F)c1,1
COc1ccc(C=O)cc1-c1ccc2c(ccn2C)c1.COc1cccc(C(C)N)c1,1
C#CC1(O)CCN(C)C1=O.COC(=O)c1nn(-c2cccc(Br)c2)c2cnccc12,1
Cc1cc(OCCN2CCCC2=O)cc(C)c1-c1cccc(C=O)c1.Nc1ccc(CCC(=O)O)c(F)c1,1
CCOC(=O)c1ccn(COCC[Si](C)(C)C)c(=O)c1.NN,1
O=[N+]([O-])c1ccc(F)cc1.Sc1ccc2ccccc2c1,1
CCOCc1nc2c(N)nc3cc(O)ccc3c2n1CC(C)(C)O.Cn1ccnc1CO,1
CC(C)(C)OC(=O)N1CCCC(c2nccnc2Cl)C1.COC(=O)c1ccc(O)cc1,1
O=C(NCC1(C(=O)Nc2ccccn2)CCNCC1)OCc1ccccc1,1
Cc1cc(C)[nH]n1.NC(=O)c1cc(F)ccc1Cl,1
CC(C)(C)C(=O)NC1=NN(C(=O)C(C)(C)C)C(CNS(=O)(=O)CCCCl)(c2ccccc2)S1.[N-]=[N+]=[N-],1
Clc1ccccc1C1=NCCC1,1
CCCNC(=O)c1nnc2c(Br)cccc2c1N.OB(O)c1ccc2[nH]ccc2c1,1
O=C(NCCCn1ccnc1)c1ccc([N+](=O)[O-])cc1,1
C=CCc1cc(OCC(=O)OCC)ccc1OC(C)=O,1
O=C1c2c(cccc2[N+](=O)[O-])CN1c1cccc(C(F)(F)F)c1,1
CC(C)(C)OC(=O)N1CCC(Oc2ccc(Cl)nc2)CC1.O=C(Nc1ccc2[nH]ccc2c1)C1CC1,1
CCOc1ccc(C#C[Si](C)(C)C)cn1,1
CCOC(=O)c1ccc(OCCN)cc1.O=C(O)c1cc2ccccc2o1,1
COC(=O)c1ccc2c(c1)nc(Cc1ccccc1)n2Cc1ccc(Cl)cc1Cl,1
CS(=O)(=O)Cl.Cc1c[nH]c(-c2c(-c3ccc(F)cc3)oc3cc(N)c(C4CC4)cc23)n1,1
C1CNCCN1.Clc1nc2nccc(-c3cccnc3)n2n1,1
COc1ccc2c(OCC(=O)O)ccnc2c1.NNc1ncc(-c2cccs2)nn1,1
CCc1nc(N)nc(N)c1-c1ccc2[nH]cc(CC)c2c1.CS(=O)(=O)c1ccc(CBr)cc1,1
